project,from_tctracer_fqs,to_tctracer_fqs,from_url,to_url
jfreechart,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo(),"org.jfree.chart.JFreeChart.createBufferedImage(int, int, ChartRenderingInfo)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java#L124,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/JFreeChart.java#L1377
jfreechart,org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2(),org.jfree.data.xy.CategoryTableXYDataset.clone(),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/CategoryTableXYDatasetTest.java#L111,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/CategoryTableXYDataset.java#L417
jfreechart,org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testGetLegendItem(),"org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem(int, int)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java#L292,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java#L452
jfreechart,org.jfree.chart.block.GridArrangementTest.testNF(),"org.jfree.chart.block.BlockContainer.arrange(Graphics2D, RectangleConstraint)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/block/GridArrangementTest.java#L130,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/block/BlockContainer.java#L177
jfreechart,org.jfree.data.time.TimeSeriesTest.testBug1864222(),"org.jfree.data.time.TimeSeries.createCopy(RegularTimePeriod, RegularTimePeriod)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/time/TimeSeriesTest.java#L925,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/time/TimeSeries.java#L1183
jfreechart,org.jfree.data.time.TimeSeriesTest.testRemoveAgedItems5(),"org.jfree.data.time.TimeSeries.removeAgedItems(long, boolean)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/time/TimeSeriesTest.java#L877,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/time/TimeSeries.java#L996
jfreechart,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.addSeries(XYSeries),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L145
jfreechart,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.getItemCount(),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L224
jfreechart,org.jfree.data.xy.TableXYDatasetTest.test788597(),org.jfree.data.xy.DefaultTableXYDataset.removeAllSeries(),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/data/xy/TableXYDatasetTest.java#L161,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/data/xy/DefaultTableXYDataset.java#L359
jfreechart,org.jfree.chart.plot.MeterPlotTest.testCloning(),org.jfree.chart.plot.MeterPlot.clone(),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/plot/MeterPlotTest.java#L200,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/MeterPlot.java#L1311
jfreechart,org.jfree.chart.plot.PiePlotTest.testBug1126_c(),org.jfree.chart.plot.PiePlot.clone(),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/plot/PiePlotTest.java#L671,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/PiePlot.java#L3473
jfreechart,org.jfree.chart.plot.PiePlotTest.testBug1126_c(),org.jfree.chart.plot.PiePlot.getSectionOutlineStroke(Comparable),https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/plot/PiePlotTest.java#L671,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/PiePlot.java#L1416
jfreechart,org.jfree.chart.plot.PiePlotTest.testBug1126_c(),"org.jfree.chart.plot.PiePlot.setSectionOutlineStroke(Comparable, Stroke)",https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/tests/org/jfree/chart/plot/PiePlotTest.java#L671,https://github.com/jfree/jfreechart/blob/b3f5f21ba0fe32a8f7eccb6760a79df30628be3e/source/org/jfree/chart/plot/PiePlot.java#L1435
